actual,status,risk_score,risk_level
processtable,ANOMALY,66.56,MEDIUM
normal,NORMAL,0.35,LOW
processtable,ANOMALY,56.14,MEDIUM
normal,NORMAL,4.11,LOW
neptune,ANOMALY,82.16,HIGH
snmpguess,NORMAL,26.54,LOW
mscan,ANOMALY,73.53,HIGH
normal,NORMAL,0.52,LOW
normal,NORMAL,3.37,LOW
normal,NORMAL,20.13,LOW
neptune,ANOMALY,80.74,HIGH
neptune,ANOMALY,81.85,HIGH
apache2,ANOMALY,52.31,MEDIUM
ipsweep,ANOMALY,55.47,MEDIUM
mscan,ANOMALY,75.58,HIGH
neptune,ANOMALY,80.39,HIGH
normal,NORMAL,1.52,LOW
processtable,ANOMALY,53.2,MEDIUM
guess_passwd,NORMAL,49.5,MEDIUM
neptune,ANOMALY,86.73,HIGH
pod,ANOMALY,64.44,MEDIUM
mailbomb,NORMAL,18.4,LOW
normal,NORMAL,1.42,LOW
neptune,ANOMALY,81.94,HIGH
processtable,NORMAL,50.18,MEDIUM
neptune,ANOMALY,76.56,HIGH
neptune,ANOMALY,79.66,HIGH
neptune,ANOMALY,87.12,HIGH
neptune,ANOMALY,81.39,HIGH
neptune,ANOMALY,80.49,HIGH
satan,ANOMALY,93.25,HIGH
neptune,ANOMALY,80.23,HIGH
warezmaster,NORMAL,34.11,MEDIUM
neptune,ANOMALY,78.39,HIGH
neptune,ANOMALY,87.12,HIGH
warezmaster,NORMAL,37.09,MEDIUM
normal,NORMAL,3.24,LOW
neptune,ANOMALY,87.03,HIGH
processtable,NORMAL,43.32,MEDIUM
normal,NORMAL,9.37,LOW
neptune,ANOMALY,81.04,HIGH
neptune,ANOMALY,82.32,HIGH
apache2,ANOMALY,52.85,MEDIUM
normal,NORMAL,1.77,LOW
satan,ANOMALY,92.9,HIGH
saint,ANOMALY,93.09,HIGH
guess_passwd,NORMAL,21.62,LOW
normal,NORMAL,23.96,LOW
smurf,NORMAL,48.37,MEDIUM
normal,NORMAL,20.45,LOW
normal,NORMAL,18.52,LOW
normal,NORMAL,1.04,LOW
normal,NORMAL,17.73,LOW
guess_passwd,NORMAL,9.58,LOW
neptune,ANOMALY,79.94,HIGH
neptune,ANOMALY,76.43,HIGH
normal,NORMAL,22.46,LOW
neptune,ANOMALY,81.55,HIGH
normal,NORMAL,1.36,LOW
processtable,NORMAL,43.35,MEDIUM
neptune,ANOMALY,83.48,HIGH
normal,NORMAL,18.69,LOW
normal,NORMAL,2.07,LOW
normal,NORMAL,24.73,LOW
normal,NORMAL,30.78,MEDIUM
guess_passwd,NORMAL,27.34,LOW
neptune,ANOMALY,76.03,HIGH
snmpgetattack,NORMAL,27.47,LOW
mscan,ANOMALY,66.04,MEDIUM
normal,NORMAL,3.1,LOW
apache2,ANOMALY,76.68,HIGH
normal,NORMAL,1.86,LOW
normal,NORMAL,1.88,LOW
satan,ANOMALY,93.08,HIGH
neptune,ANOMALY,75.54,HIGH
processtable,ANOMALY,75.81,HIGH
normal,NORMAL,0.69,LOW
normal,NORMAL,0.96,LOW
apache2,ANOMALY,59.35,MEDIUM
warezmaster,NORMAL,23.28,LOW
normal,NORMAL,2.45,LOW
normal,NORMAL,1.6,LOW
normal,NORMAL,29.32,LOW
smurf,NORMAL,39.12,MEDIUM
normal,NORMAL,1.99,LOW
normal,NORMAL,36.32,MEDIUM
normal,NORMAL,1.38,LOW
snmpguess,NORMAL,26.55,LOW
normal,NORMAL,3.03,LOW
normal,NORMAL,1.06,LOW
normal,NORMAL,45.99,MEDIUM
neptune,ANOMALY,81.09,HIGH
normal,NORMAL,0.38,LOW
back,NORMAL,20.43,LOW
normal,NORMAL,5.02,LOW
neptune,ANOMALY,85.75,HIGH
normal,NORMAL,23.51,LOW
normal,NORMAL,3.02,LOW
normal,NORMAL,49.2,MEDIUM
mscan,ANOMALY,63.13,MEDIUM
warezmaster,NORMAL,24.0,LOW
normal,NORMAL,15.5,LOW
neptune,ANOMALY,79.98,HIGH
pod,NORMAL,49.49,MEDIUM
apache2,ANOMALY,66.69,MEDIUM
normal,NORMAL,49.8,MEDIUM
apache2,ANOMALY,53.62,MEDIUM
mscan,NORMAL,44.04,MEDIUM
normal,NORMAL,15.54,LOW
normal,NORMAL,17.62,LOW
apache2,ANOMALY,70.59,HIGH
neptune,ANOMALY,81.34,HIGH
neptune,ANOMALY,85.33,HIGH
normal,NORMAL,9.57,LOW
warezmaster,NORMAL,50.72,MEDIUM
neptune,ANOMALY,86.97,HIGH
neptune,ANOMALY,80.28,HIGH
normal,NORMAL,1.92,LOW
normal,NORMAL,15.22,LOW
normal,NORMAL,16.33,LOW
guess_passwd,NORMAL,11.32,LOW
normal,NORMAL,17.36,LOW
neptune,ANOMALY,86.61,HIGH
satan,ANOMALY,95.16,HIGH
mscan,ANOMALY,80.62,HIGH
normal,NORMAL,0.41,LOW
warezmaster,NORMAL,48.5,MEDIUM
normal,NORMAL,2.16,LOW
normal,NORMAL,1.47,LOW
warezmaster,NORMAL,17.32,LOW
normal,NORMAL,2.07,LOW
neptune,ANOMALY,82.35,HIGH
neptune,ANOMALY,80.7,HIGH
neptune,ANOMALY,87.53,HIGH
guess_passwd,NORMAL,27.84,LOW
normal,NORMAL,28.61,LOW
normal,NORMAL,2.01,LOW
ipsweep,ANOMALY,51.76,MEDIUM
neptune,ANOMALY,76.48,HIGH
normal,NORMAL,0.69,LOW
neptune,ANOMALY,86.61,HIGH
portsweep,ANOMALY,71.65,HIGH
neptune,ANOMALY,81.79,HIGH
normal,NORMAL,49.62,MEDIUM
mscan,ANOMALY,67.46,MEDIUM
normal,NORMAL,2.68,LOW
neptune,ANOMALY,81.22,HIGH
neptune,ANOMALY,82.09,HIGH
normal,NORMAL,26.63,LOW
warezmaster,NORMAL,30.77,MEDIUM
warezmaster,NORMAL,26.11,LOW
mscan,ANOMALY,71.7,HIGH
neptune,ANOMALY,88.59,HIGH
normal,NORMAL,4.24,LOW
warezmaster,ANOMALY,52.88,MEDIUM
neptune,ANOMALY,81.19,HIGH
normal,NORMAL,5.02,LOW
processtable,ANOMALY,75.8,HIGH
normal,NORMAL,3.84,LOW
httptunnel,ANOMALY,69.63,MEDIUM
mscan,ANOMALY,63.54,MEDIUM
normal,NORMAL,4.55,LOW
normal,NORMAL,1.35,LOW
normal,NORMAL,50.12,MEDIUM
mscan,ANOMALY,76.85,HIGH
normal,NORMAL,3.5,LOW
neptune,ANOMALY,76.61,HIGH
normal,NORMAL,12.0,LOW
neptune,ANOMALY,81.29,HIGH
back,NORMAL,33.82,MEDIUM
normal,NORMAL,28.13,LOW
guess_passwd,NORMAL,20.02,LOW
normal,NORMAL,42.89,MEDIUM
normal,NORMAL,0.8,LOW
satan,ANOMALY,94.11,HIGH
warezmaster,NORMAL,35.59,MEDIUM
neptune,ANOMALY,82.13,HIGH
neptune,ANOMALY,80.52,HIGH
satan,ANOMALY,95.03,HIGH
normal,NORMAL,2.37,LOW
normal,NORMAL,50.26,MEDIUM
normal,NORMAL,1.4,LOW
normal,NORMAL,19.2,LOW
neptune,ANOMALY,81.93,HIGH
guess_passwd,NORMAL,12.64,LOW
normal,NORMAL,1.91,LOW
neptune,ANOMALY,81.09,HIGH
normal,NORMAL,0.65,LOW
normal,NORMAL,3.2,LOW
normal,NORMAL,18.22,LOW
normal,NORMAL,1.07,LOW
neptune,ANOMALY,81.51,HIGH
normal,NORMAL,1.72,LOW
warezmaster,NORMAL,35.96,MEDIUM
smurf,NORMAL,43.61,MEDIUM
guess_passwd,NORMAL,21.05,LOW
mscan,ANOMALY,77.57,HIGH
neptune,ANOMALY,81.82,HIGH
neptune,ANOMALY,78.23,HIGH
normal,ANOMALY,83.87,HIGH
neptune,ANOMALY,81.61,HIGH
normal,NORMAL,40.86,MEDIUM
neptune,ANOMALY,74.14,HIGH
normal,NORMAL,1.35,LOW
normal,NORMAL,0.71,LOW
normal,NORMAL,49.65,MEDIUM
neptune,ANOMALY,81.28,HIGH
portsweep,ANOMALY,91.65,HIGH
mscan,ANOMALY,80.13,HIGH
apache2,ANOMALY,67.49,MEDIUM
normal,NORMAL,1.84,LOW
normal,NORMAL,24.21,LOW
back,NORMAL,19.05,LOW
satan,ANOMALY,68.76,MEDIUM
mscan,ANOMALY,60.16,MEDIUM
satan,ANOMALY,83.87,HIGH
processtable,ANOMALY,56.68,MEDIUM
normal,NORMAL,17.74,LOW
neptune,ANOMALY,80.28,HIGH
neptune,ANOMALY,80.0,HIGH
guess_passwd,NORMAL,28.31,LOW
normal,NORMAL,1.26,LOW
normal,NORMAL,7.54,LOW
guess_passwd,NORMAL,9.42,LOW
normal,NORMAL,1.08,LOW
normal,NORMAL,25.11,LOW
normal,NORMAL,49.21,MEDIUM
neptune,ANOMALY,75.76,HIGH
normal,NORMAL,8.59,LOW
normal,NORMAL,1.6,LOW
neptune,ANOMALY,80.65,HIGH
normal,NORMAL,1.69,LOW
normal,NORMAL,0.42,LOW
normal,NORMAL,12.78,LOW
normal,NORMAL,50.48,MEDIUM
satan,ANOMALY,94.01,HIGH
normal,NORMAL,3.22,LOW
snmpguess,NORMAL,26.43,LOW
normal,NORMAL,18.02,LOW
neptune,ANOMALY,81.33,HIGH
back,NORMAL,16.33,LOW
normal,NORMAL,26.67,LOW
normal,NORMAL,0.31,LOW
neptune,ANOMALY,81.64,HIGH
guess_passwd,NORMAL,20.38,LOW
guess_passwd,NORMAL,13.88,LOW
neptune,ANOMALY,81.21,HIGH
normal,NORMAL,7.52,LOW
normal,NORMAL,1.57,LOW
processtable,NORMAL,50.5,MEDIUM
neptune,ANOMALY,85.19,HIGH
processtable,ANOMALY,66.86,MEDIUM
normal,ANOMALY,68.11,MEDIUM
normal,NORMAL,19.65,LOW
neptune,ANOMALY,81.16,HIGH
normal,NORMAL,11.72,LOW
normal,NORMAL,24.59,LOW
normal,NORMAL,29.51,LOW
processtable,NORMAL,51.03,MEDIUM
normal,NORMAL,3.58,LOW
neptune,ANOMALY,81.91,HIGH
saint,ANOMALY,92.87,HIGH
normal,NORMAL,1.03,LOW
normal,NORMAL,3.49,LOW
smurf,NORMAL,36.95,MEDIUM
normal,NORMAL,1.39,LOW
normal,NORMAL,0.46,LOW
normal,NORMAL,50.45,MEDIUM
neptune,ANOMALY,86.58,HIGH
normal,NORMAL,2.35,LOW
guess_passwd,NORMAL,15.08,LOW
neptune,ANOMALY,77.99,HIGH
normal,NORMAL,4.15,LOW
neptune,ANOMALY,76.09,HIGH
normal,NORMAL,1.45,LOW
snmpgetattack,NORMAL,26.81,LOW
processtable,NORMAL,47.91,MEDIUM
neptune,ANOMALY,86.14,HIGH
normal,NORMAL,0.82,LOW
neptune,ANOMALY,76.46,HIGH
normal,NORMAL,49.71,MEDIUM
saint,ANOMALY,95.09,HIGH
normal,NORMAL,0.33,LOW
normal,NORMAL,5.43,LOW
back,NORMAL,14.82,LOW
neptune,ANOMALY,75.63,HIGH
mailbomb,NORMAL,16.91,LOW
normal,NORMAL,9.56,LOW
neptune,ANOMALY,78.85,HIGH
normal,NORMAL,0.54,LOW
normal,NORMAL,0.56,LOW
neptune,ANOMALY,80.22,HIGH
normal,NORMAL,10.72,LOW
normal,NORMAL,24.72,LOW
mscan,ANOMALY,78.65,HIGH
normal,ANOMALY,66.32,MEDIUM
neptune,ANOMALY,81.02,HIGH
multihop,NORMAL,31.4,MEDIUM
neptune,ANOMALY,82.6,HIGH
normal,NORMAL,0.25,LOW
mailbomb,NORMAL,18.33,LOW
normal,NORMAL,35.35,MEDIUM
mscan,ANOMALY,78.93,HIGH
normal,NORMAL,8.45,LOW
normal,NORMAL,0.39,LOW
satan,ANOMALY,99.42,HIGH
normal,NORMAL,48.32,MEDIUM
guess_passwd,NORMAL,10.03,LOW
normal,NORMAL,0.37,LOW
normal,NORMAL,0.38,LOW
normal,NORMAL,2.69,LOW
normal,NORMAL,1.23,LOW
smurf,NORMAL,41.58,MEDIUM
normal,NORMAL,3.21,LOW
normal,NORMAL,15.44,LOW
normal,NORMAL,5.54,LOW
snmpgetattack,NORMAL,26.88,LOW
neptune,ANOMALY,79.95,HIGH
guess_passwd,NORMAL,23.83,LOW
apache2,ANOMALY,65.95,MEDIUM
neptune,ANOMALY,81.2,HIGH
normal,ANOMALY,53.19,MEDIUM
normal,NORMAL,17.45,LOW
normal,NORMAL,2.7,LOW
satan,ANOMALY,91.73,HIGH
nmap,ANOMALY,82.55,HIGH
mscan,ANOMALY,70.91,HIGH
processtable,NORMAL,44.61,MEDIUM
normal,NORMAL,2.84,LOW
neptune,ANOMALY,80.26,HIGH
normal,NORMAL,3.32,LOW
normal,NORMAL,2.38,LOW
neptune,ANOMALY,80.03,HIGH
satan,ANOMALY,91.81,HIGH
normal,NORMAL,1.85,LOW
normal,NORMAL,1.78,LOW
normal,NORMAL,2.66,LOW
normal,NORMAL,43.4,MEDIUM
neptune,ANOMALY,82.16,HIGH
httptunnel,ANOMALY,69.56,MEDIUM
guess_passwd,NORMAL,9.43,LOW
back,NORMAL,15.44,LOW
normal,NORMAL,2.34,LOW
normal,NORMAL,2.7,LOW
normal,ANOMALY,89.59,HIGH
normal,NORMAL,50.11,MEDIUM
processtable,NORMAL,49.83,MEDIUM
normal,NORMAL,5.11,LOW
normal,NORMAL,2.05,LOW
warezmaster,NORMAL,34.34,MEDIUM
mscan,ANOMALY,61.37,MEDIUM
normal,NORMAL,0.57,LOW
neptune,ANOMALY,87.34,HIGH
satan,ANOMALY,67.5,MEDIUM
processtable,NORMAL,46.97,MEDIUM
normal,NORMAL,17.57,LOW
back,NORMAL,34.95,MEDIUM
normal,NORMAL,22.69,LOW
normal,NORMAL,2.4,LOW
normal,NORMAL,4.49,LOW
neptune,ANOMALY,75.69,HIGH
mscan,ANOMALY,75.18,HIGH
neptune,ANOMALY,74.16,HIGH
normal,ANOMALY,55.87,MEDIUM
saint,ANOMALY,54.13,MEDIUM
normal,NORMAL,20.15,LOW
neptune,ANOMALY,79.35,HIGH
normal,NORMAL,23.05,LOW
normal,NORMAL,37.81,MEDIUM
neptune,ANOMALY,86.32,HIGH
processtable,ANOMALY,56.39,MEDIUM
neptune,ANOMALY,76.38,HIGH
back,NORMAL,19.2,LOW
smurf,ANOMALY,52.04,MEDIUM
normal,NORMAL,1.91,LOW
guess_passwd,NORMAL,24.11,LOW
neptune,ANOMALY,80.28,HIGH
snmpgetattack,NORMAL,27.27,LOW
normal,NORMAL,2.31,LOW
normal,NORMAL,15.43,LOW
mscan,ANOMALY,60.33,MEDIUM
snmpguess,NORMAL,26.43,LOW
smurf,NORMAL,42.2,MEDIUM
smurf,NORMAL,44.15,MEDIUM
ipsweep,ANOMALY,56.61,MEDIUM
apache2,ANOMALY,57.88,MEDIUM
normal,NORMAL,2.85,LOW
neptune,ANOMALY,81.87,HIGH
neptune,ANOMALY,76.36,HIGH
normal,NORMAL,20.96,LOW
normal,NORMAL,0.39,LOW
normal,NORMAL,19.68,LOW
warezmaster,NORMAL,34.75,MEDIUM
satan,ANOMALY,61.25,MEDIUM
neptune,ANOMALY,85.45,HIGH
normal,NORMAL,0.43,LOW
guess_passwd,NORMAL,11.22,LOW
normal,NORMAL,16.75,LOW
portsweep,ANOMALY,76.43,HIGH
mailbomb,NORMAL,46.38,MEDIUM
apache2,ANOMALY,65.81,MEDIUM
normal,NORMAL,17.51,LOW
warezmaster,NORMAL,48.7,MEDIUM
neptune,ANOMALY,79.98,HIGH
normal,NORMAL,11.19,LOW
normal,NORMAL,5.44,LOW
normal,NORMAL,17.6,LOW
normal,NORMAL,5.67,LOW
normal,NORMAL,0.91,LOW
neptune,ANOMALY,77.88,HIGH
normal,NORMAL,4.7,LOW
normal,NORMAL,0.64,LOW
normal,NORMAL,3.53,LOW
guess_passwd,NORMAL,14.6,LOW
normal,NORMAL,12.25,LOW
neptune,ANOMALY,81.87,HIGH
satan,ANOMALY,66.44,MEDIUM
normal,NORMAL,0.4,LOW
normal,NORMAL,1.51,LOW
neptune,ANOMALY,82.15,HIGH
apache2,ANOMALY,61.52,MEDIUM
normal,NORMAL,4.26,LOW
normal,NORMAL,1.52,LOW
normal,NORMAL,49.72,MEDIUM
normal,NORMAL,5.59,LOW
neptune,ANOMALY,81.28,HIGH
normal,NORMAL,2.7,LOW
normal,NORMAL,17.68,LOW
normal,NORMAL,1.42,LOW
normal,NORMAL,11.0,LOW
neptune,ANOMALY,78.61,HIGH
smurf,NORMAL,46.87,MEDIUM
mscan,ANOMALY,78.79,HIGH
neptune,ANOMALY,85.96,HIGH
normal,NORMAL,0.49,LOW
normal,NORMAL,21.0,LOW
smurf,ANOMALY,60.64,MEDIUM
normal,ANOMALY,65.2,MEDIUM
normal,NORMAL,4.92,LOW
normal,NORMAL,13.03,LOW
normal,NORMAL,41.99,MEDIUM
normal,NORMAL,2.17,LOW
snmpgetattack,NORMAL,30.19,MEDIUM
normal,NORMAL,2.82,LOW
smurf,NORMAL,41.44,MEDIUM
normal,NORMAL,1.5,LOW
normal,NORMAL,1.1,LOW
normal,NORMAL,3.69,LOW
smurf,NORMAL,37.09,MEDIUM
normal,NORMAL,2.08,LOW
apache2,ANOMALY,55.72,MEDIUM
neptune,ANOMALY,76.18,HIGH
warezmaster,NORMAL,25.02,LOW
normal,NORMAL,0.23,LOW
guess_passwd,NORMAL,21.68,LOW
guess_passwd,NORMAL,27.48,LOW
neptune,ANOMALY,82.14,HIGH
snmpguess,NORMAL,26.58,LOW
smurf,ANOMALY,54.25,MEDIUM
httptunnel,ANOMALY,69.86,MEDIUM
normal,NORMAL,0.97,LOW
apache2,ANOMALY,60.04,MEDIUM
normal,ANOMALY,63.63,MEDIUM
normal,NORMAL,23.81,LOW
normal,NORMAL,16.19,LOW
neptune,ANOMALY,87.65,HIGH
normal,NORMAL,30.04,MEDIUM
portsweep,ANOMALY,84.76,HIGH
mailbomb,NORMAL,18.55,LOW
neptune,ANOMALY,87.49,HIGH
normal,NORMAL,1.57,LOW
apache2,ANOMALY,76.04,HIGH
neptune,ANOMALY,81.64,HIGH
normal,NORMAL,3.57,LOW
neptune,ANOMALY,73.06,HIGH
normal,NORMAL,11.62,LOW
snmpgetattack,NORMAL,27.67,LOW
smurf,NORMAL,39.69,MEDIUM
neptune,ANOMALY,82.15,HIGH
neptune,ANOMALY,81.13,HIGH
guess_passwd,NORMAL,12.66,LOW
neptune,ANOMALY,87.43,HIGH
normal,NORMAL,21.75,LOW
nmap,ANOMALY,82.43,HIGH
back,NORMAL,16.97,LOW
normal,NORMAL,4.13,LOW
back,NORMAL,23.56,LOW
normal,NORMAL,0.22,LOW
neptune,ANOMALY,81.83,HIGH
normal,NORMAL,5.31,LOW
warezmaster,NORMAL,24.5,LOW
neptune,ANOMALY,76.74,HIGH
processtable,ANOMALY,75.73,HIGH
guess_passwd,NORMAL,24.32,LOW
normal,NORMAL,18.25,LOW
neptune,ANOMALY,80.77,HIGH
neptune,ANOMALY,70.91,HIGH
processtable,NORMAL,45.87,MEDIUM
neptune,ANOMALY,81.6,HIGH
guess_passwd,NORMAL,21.73,LOW
normal,NORMAL,9.06,LOW
apache2,ANOMALY,54.76,MEDIUM
normal,NORMAL,3.26,LOW
neptune,ANOMALY,86.43,HIGH
guess_passwd,NORMAL,24.04,LOW
neptune,ANOMALY,73.62,HIGH
normal,NORMAL,1.32,LOW
neptune,ANOMALY,82.43,HIGH
normal,NORMAL,50.09,MEDIUM
saint,ANOMALY,53.68,MEDIUM
guess_passwd,NORMAL,10.1,LOW
apache2,ANOMALY,76.8,HIGH
satan,ANOMALY,95.09,HIGH
normal,ANOMALY,69.37,MEDIUM
neptune,ANOMALY,86.61,HIGH
ipsweep,NORMAL,50.74,MEDIUM
normal,NORMAL,1.23,LOW
normal,NORMAL,3.35,LOW
neptune,ANOMALY,76.47,HIGH
mscan,ANOMALY,66.8,MEDIUM
normal,NORMAL,2.23,LOW
normal,NORMAL,18.14,LOW
normal,NORMAL,3.13,LOW
normal,NORMAL,10.71,LOW
mscan,NORMAL,39.55,MEDIUM
warezmaster,NORMAL,42.03,MEDIUM
normal,NORMAL,2.39,LOW
normal,NORMAL,3.36,LOW
normal,NORMAL,5.21,LOW
guess_passwd,NORMAL,9.93,LOW
guess_passwd,NORMAL,28.36,LOW
normal,NORMAL,6.52,LOW
normal,NORMAL,0.23,LOW
normal,NORMAL,30.3,MEDIUM
neptune,ANOMALY,82.22,HIGH
neptune,ANOMALY,87.87,HIGH
normal,NORMAL,1.03,LOW
normal,NORMAL,5.83,LOW
guess_passwd,NORMAL,33.15,MEDIUM
satan,ANOMALY,62.62,MEDIUM
normal,NORMAL,38.69,MEDIUM
normal,ANOMALY,65.73,MEDIUM
normal,NORMAL,17.24,LOW
normal,NORMAL,0.79,LOW
normal,NORMAL,49.63,MEDIUM
processtable,NORMAL,41.4,MEDIUM
normal,NORMAL,0.69,LOW
processtable,NORMAL,50.35,MEDIUM
normal,NORMAL,32.33,MEDIUM
normal,NORMAL,1.07,LOW
neptune,ANOMALY,87.29,HIGH
smurf,NORMAL,42.35,MEDIUM
pod,NORMAL,50.66,MEDIUM
snmpguess,NORMAL,26.11,LOW
apache2,ANOMALY,66.78,MEDIUM
neptune,ANOMALY,80.96,HIGH
normal,NORMAL,1.38,LOW
satan,ANOMALY,94.99,HIGH
normal,NORMAL,1.8,LOW
smurf,ANOMALY,52.58,MEDIUM
normal,NORMAL,4.64,LOW
normal,NORMAL,2.74,LOW
normal,NORMAL,1.99,LOW
guess_passwd,NORMAL,11.74,LOW
neptune,ANOMALY,85.09,HIGH
normal,NORMAL,38.29,MEDIUM
neptune,ANOMALY,74.01,HIGH
normal,NORMAL,17.26,LOW
mscan,ANOMALY,66.9,MEDIUM
warezmaster,NORMAL,35.63,MEDIUM
neptune,ANOMALY,81.52,HIGH
normal,NORMAL,36.02,MEDIUM
normal,NORMAL,1.21,LOW
normal,NORMAL,14.13,LOW
neptune,ANOMALY,86.74,HIGH
normal,NORMAL,1.69,LOW
neptune,ANOMALY,75.3,HIGH
satan,ANOMALY,94.04,HIGH
normal,NORMAL,2.98,LOW
normal,NORMAL,4.47,LOW
satan,ANOMALY,95.09,HIGH
neptune,ANOMALY,81.78,HIGH
neptune,ANOMALY,87.27,HIGH
satan,ANOMALY,68.15,MEDIUM
normal,NORMAL,32.97,MEDIUM
neptune,ANOMALY,83.84,HIGH
portsweep,ANOMALY,82.24,HIGH
normal,NORMAL,4.3,LOW
normal,ANOMALY,71.54,HIGH
normal,NORMAL,49.69,MEDIUM
normal,NORMAL,49.84,MEDIUM
normal,NORMAL,0.79,LOW
pod,ANOMALY,57.2,MEDIUM
smurf,NORMAL,44.15,MEDIUM
ipsweep,ANOMALY,56.93,MEDIUM
mscan,ANOMALY,70.5,HIGH
normal,NORMAL,18.99,LOW
